code,nom,dci,forme,dosage
6118010023453,AMUCHIN 10,CHLOROXYDANT / ELECTROLYTIQUE,SOLUTION POUR APPLICATION LOCALE,0.11 / 1.8 G / G
6118001080687,TAVANIC,LEVOFLOXACINE,SOLUTION POUR PERFUSION,500 MG
6118001183852,DAILY GÉ,LEVONORGESTREL / ETHINYLESTRADIOL,COMPRIME ENROBE,0.05 / 0.03 MG / MG
6118001021161,CIPROFLOXACINE MYLAN 200 MG/100 ML,CIPROFLOXACINE,SOLUTION POUR PERFUSION,200 MG
6118000061434,RHINATHIOL ENFANT ET NOURRISSON,CARBOCYSTEINE,SIROP,2 %
6118010019098,FOLINATE DE CALCIUM AGUETTANT 50 MG,FOLINATE DE CALCIUM,POUDRE POUR SOLUTION INJECTABLE,50 MG
6118001080106,R.O.R / TRIMOVAX,VACCIN R.O.R,POUDRE POUR SUSPENSION INJECTABLE,nan nan
6118010120312,SOLIAN 100 MG/ML,AMISULPRIDE,SOLUTION BUVABLE,100 MG/ML
6118000080466,ZILDAM,PIROXICAM,SUPPOSITOIRE,20 MG
6118001030316,TAREG,VALSARTAN,COMPRIME PELLICULE,80 MG
6118000320043,HEMOPUR AC1,CONCENTRE POUR HEMODIALYSE,SOLUTION POUR HEMODIALYSE,nan nan
6118001000159,EQUORAL,CICLOSPORINE,CAPSULE MOLLE,50 MG
6118000030607,ACTIVAROL C100,ACIDE ASCORBIQUE (VITAMINE C) / HEMATOPORPHYRINE,SOLUTION BUVABLE,100 / 0.003 MG / G
6118001250912,PRAVATOR,PRAVASTATINE,COMPRIME SECABLE,20 MG
6118010032820,GONAL-F 150 UI,FOLLITROPINE ALFA,POUDRE POUR SOLUTION INJECTABLE,150 UI
6118010000270,A-GRAM,AMOXICILLINE,POUDRE POUR SUSPENSION BUVABLE,250 MG
6118001080816,NASACORT,TRIAMCINOLONE,SUSPENSION POUR PULVERISATION NASALE,55 µG
6118001182763,SOTALEX,SOTALOL,COMPRIME SECABLE,160 MG
6118001180653,CLIMASTON,ESTRADIOL / DYDROGESTERONE,COMPRIME PELLICULE,1 / 5 MG / MG
6118010118098,ACEPRIL,PERINDOPRIL,COMPRIME,2 MG
6118000310105,LORAZEPAM PHARMA,LORAZEPAM,COMPRIME,2.5 MG
6118010020070,CO-OLMETEC,OLMESARTAN / HYDROCHLOROTHIAZIDE,COMPRIME PELLICULE,20 / 12.5 MG / MG
6118000010845,IMODIUM,LOPERAMIDE,GELULE,2 MG
6118001080724,TETRAXIM,VACCIN D.T.COQ.P,PREPARATION INJECTABLE,nan nan
6118000040439,GELUPRANE,PARACETAMOL,GELULE,500 MG
6118010120770,LETROZOL GT,LETROZOLE,COMPRIME SECABLE,2.5 MG
6118000021537,MELIX,GLIBENCLAMIDE,COMPRIME,5 MG
6118001140190,CLAVULIN,AMOXICILLINE / ACIDE CLAVULANIQUE,POUDRE POUR SOLUTION INJECTABLE,1 / 200 G / MG
6118001181889,NOLVADEX,TAMOXIFENE,COMPRIME PELLICULE,10 MG
6118001120833,SANDOSTATINE *,OCTREOTIDE,SOLUTION INJECTABLE,100 µG
6118000050247,BIAFINE,TROLAMINE,EMULSION POUR APPLICATION LOCALE,0.67 G
6118001160389,SINGULAIR,MONTELUKAST,GRANULE,4 MG
6118000030744,SANDOCAL,CALCIUM,POUDRE POUR SUSPENSION BUVABLE,500 MG
6118000080985,TOPAAL,ACIDE ALGINIQUE / ALUMINIUM HYDROXYDE,COMPRIME A CROQUER,200 / 30 MG / MG
6118000011538,STIMOL,CITRULINE MALEATE,SOLUTION BUVABLE,1 G
6118001100606,OSSOPAN,COMPLEXE OSSEINE HYDROXYAPATITE,COMPRIME PELLICULE,600 MG
6118000230120,INALAP 5 MG,ENALAPRIL,COMPRIME,5 MG
6118010035609,VACCIN ATNTIDIPHTERIQUE ANTITETANIQUE,ANATOXINE TETANIQUE / ANATOXINE DIPHTERIQUE,PREPARATION INJECTABLE,nan NA / NA
6118010020209,NOMYC,FLUCONAZOLE,GELULE,150 MG
6118010019715,CORTIVENT,BECLOMETASONE,SUSPENSION POUR INHALATION,50 µG
6118000220053,CATAFLAM,DICLOFENAC,COMPRIME ENROBE,50 MG
6118001270996,OXONE 1G/5 ML IM,CEFTRIAXONE,POUDRE POUR PREPARATION INJECTABLE,1 G
6118000090922,SULFOBACTIN,THIAMPHENICOL,COMPRIME,500 MG
6118000060208,TRIATEC,RAMIPRIL,COMPRIME SECABLE,1.25 MG
6118000191094,CANDICID,FLUCONAZOLE,GELULE,150 MG
6118001250509,TRINOMYC,FLUCONAZOLE,SOLUTION POUR PERFUSION,2 MG
6118000020660,SPASMAG,MAGNESIUM SULFATE / LEVURE CEREVISIAE,SOLUTION BUVABLE,1.2 / 100 G / MG
6118000140214,DOXINE,DOXYCYCLINE,COMPRIME ENROBE,100 MG
6118001230174,DOPAMINE AGUETTANT 40MG/ML,DOPAMINE,SOLUTION POUR PERFUSION,40 MG
6118001250721,AVIRANZ,EFAVIRENZ,GELULE,200 MG
6118001200573,CISPLATINE EBEWE,CISPLATINE,SOLUTION POUR PERFUSION,50 MG
6118000030065,ALGANTIL,IBUPROFENE,COMPRIME ENROBE,200 MG
6118001200054,GASTROGRAFINE,AMIDOTRIZOATE DE MEGLUMINE ET DE SODIUM,SOLUTION BUVABLE OU RECTALE,370 MG
6118001050567,TILCOTIL,TENOXICAM,SUPPOSITOIRE,20 MG
6118010025082,PREMOCEFAL,CEFADROXIL,POUDRE POUR SUSPENSION BUVABLE,500 MG
6118000070979,MIBRAL,AMLODIPINE,COMPRIME,5 MG
6118010120329,SOLIAN 100 MG,AMISULPRIDE,COMPRIME SECABLE,100 MG
6118001180707,COLPOTROPHINE,PROMESTRIENE,CAPSULE VAGINALE,10 MG
6118001270026,CARTEOL LP,CARTEOLOL,COLLYRE LP,1 %
6118000241171,BREXIN,PIROXICAM BETA CYCLODEXTRINE,COMPRIME EFFERVESCENT,20 MG
6118001141074,SALBUMOL,SALBUTAMOL,SOLUTION INJECTABLE,0.5 MG/ML
6118010126222,MEZOR 20 MG,ESOMEPRAZOLE,GELULE GASTRO-RESISTANTE,20 MG
6118000150084,BEROCCA,MULTIVITAMINES ET MINERAUX,COMPRIME EFFERVESCENT,nan nan
6118000140863,ROXAM,PIROXICAM,SOLUTION INJECTABLE,20 MG
6118001180776,DECAPEPTYL LP,TRIPTORELINE,POUDRE POUR SOLUTION INJECTABLE,11.25 MG
